data;

param xpos := 

d1 10

c1	-5.21
c4	7.53
c8	-1.8
c11	3.09
c12	-2.94
c13	-4.59
c16	-5.74
c17	-7.41
c21	9.52
c23	-2.87
c24	-1.37
c29	-1.07
c30	2.8
c35	5.1
c36	-0.92
c38	-5.85
c40	1.91
c42	-8.46
c44	2.86
c47	1.22
c53	-5.22
c54	-4.84
c55	4.59
c57	-6.5
c60	7.29

;


param ypos :=

d1 10

c1	-0.36
c4	-6.28
c8	-7.84
c11	6.42
c12	2.94
c13	5.66
c16	5.79
c17	-9.53
c21	-0.45
c23	-1.24
c24	-5.1
c29	3.24
c30	-1.86
c35	3.02
c36	-4.84
c38	5.33
c40	7.51
c42	6.79
c44	-3.32
c47	7.29
c53	-2
c54	-3.49
c55	5.14
c57	4.22
c60	-7.13

;
