data;

param c_y :=
c1	-10
c2	-10
c3	-10
c4	-10
c5	-9
c6	-8
c7	-8
c8	-7
c9	-7
c10	-7
c11	-7
c12	-7
c13	-6
c14	-5
c15	-4
c16	-3
c17	-3
c18	-3
c19	-2
c20	-2
c21	-2
c22	-2
c23	-2
c24	-2
c25	-2
c26	-1
c27	-1
c28	0
c29	0
c30	0
c31	0
c32	0
c33	0
c34	1
c35	1
c36	1
c37	2
c38	3
c39	4
c40	4
c41	5
c42	5
c43	6
c44	7
c45	7
c46	7
c47	7
c48	7
c49	8
c50	8
c51	8
c52	9
c53	9
c54	9
c55	9
c56	10
c57	10
c58	10
c59	10
c60	10
;

param c_x :=
c1	-7
c2	-5
c3	-4
c4	10
c5	-3
c6	-1
c7	8
c8	-4
c9	-2
c10	2
c11	3
c12	6
c13	-1
c14	-7
c15	-2
c16	-8
c17	4
c18	7
c19	-7
c20	-6
c21	-3
c22	1
c23	4
c24	6
c25	10
c26	-6
c27	-2
c28	-10
c29	-7
c30	-3
c31	-2
c32	4
c33	9
c34	1
c35	8
c36	10
c37	-3
c38	-1
c39	-5
c40	8
c41	-1
c42	0
c43	10
c44	-9
c45	-5
c46	-2
c47	5
c48	10
c49	-1
c50	1
c51	4
c52	-7
c53	-6
c54	-5
c55	0
c56	-3
c57	-2
c58	-1
c59	0
c60	9
;
 
